,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,Unnamed: 38,Unnamed: 39,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Unnamed: 27,Unnamed: 28,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,Unnamed: 33,Unnamed: 34,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Unnamed: 26,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Unnamed: 32
266,205,Jamaal Lascelles,ENG,DF,Newcastle Utd,29,1993,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/450ab6fc/Jamaal-Lascelles,450ab6fc,0,0,,0.0,0.0,,,,0,,0.0,0.0,https://fbref.com/en/players/450ab6fc/Jamaal-Lascelles,450ab6fc,13,16,81.3,267,72,4,4,100.0,7,9,77.8,2,3,66.7,0.0,0.0,0,0,0,0,https://fbref.com/en/players/450ab6fc/Jamaal-Lascelles,450ab6fc,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/450ab6fc/Jamaal-Lascelles,0,0,0,0,0,0,,0,0,0,0,0,1,0,17,4,0,17,0,,0,,14,0,0,0,15,https://fbref.com/en/players/450ab6fc/Jamaal-Lascelles
267,206,Mario Lemina,GAB,MF,Wolves,30,1993,4,4,360,4.0,0,0,0,0,0,0,2,0,0.8,0.8,0.0,0.9,2,8,5,0.0,0.0,0.0,0.0,0.0,0.21,0.01,0.22,0.21,0.22,Matches,https://fbref.com/en/players/2b471f99/Mario-Lemina,2b471f99,8,0,0.0,2.0,0.0,0.0,,20.2,0,0.1,-0.8,-0.8,https://fbref.com/en/players/2b471f99/Mario-Lemina,2b471f99,156,185,84.3,2274,536,90,98,91.8,51,59,86.4,9,15,60.0,0.1,0.0,2,8,2,1,https://fbref.com/en/players/2b471f99/Mario-Lemina,2b471f99,8,2.0,6,0,0,0,0,1,0.25,1,0,0,0,0,0,https://fbref.com/en/players/2b471f99/Mario-Lemina,12,8,6,6,0,1,33.3,2,3,2,8,20,5,0,235,15,4,235,5,50.0,5,50.0,122,0,5,2,154,https://fbref.com/en/players/2b471f99/Mario-Lemina
268,207,Bernd Leno,GER,GK,Fulham,31,1992,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/2628fd2b/Bernd-Leno,2628fd2b,0,0,,0.0,0.0,,,,0,,0.0,0.0,https://fbref.com/en/players/2628fd2b/Bernd-Leno,2628fd2b,151,195,77.4,4036,2562,21,21,100.0,95,96,99.0,35,77,45.5,0.0,0.0,0,5,0,0,https://fbref.com/en/players/2628fd2b/Bernd-Leno,2628fd2b,1,0.25,1,0,0,0,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/2628fd2b/Bernd-Leno,0,0,0,0,0,0,,0,0,0,0,0,0,0,209,150,0,209,0,,0,,142,0,0,0,114,https://fbref.com/en/players/2628fd2b/Bernd-Leno
269,208,Jefferson Lerma,COL,MF,Crystal Palace,28,1994,4,4,360,4.0,0,0,0,0,0,0,0,0,0.2,0.2,0.7,0.8,3,13,9,0.0,0.0,0.0,0.0,0.0,0.04,0.16,0.21,0.04,0.21,Matches,https://fbref.com/en/players/9b5ce51a/Jefferson-Lerma,9b5ce51a,4,2,50.0,1.0,0.5,0.0,0.0,18.0,0,0.04,-0.2,-0.2,https://fbref.com/en/players/9b5ce51a/Jefferson-Lerma,9b5ce51a,157,195,80.5,2367,704,91,99,91.9,56,72,77.8,8,16,50.0,0.4,-0.7,6,17,2,0,https://fbref.com/en/players/9b5ce51a/Jefferson-Lerma,9b5ce51a,12,3.0,9,0,1,0,1,1,0.25,1,0,0,0,0,0,https://fbref.com/en/players/9b5ce51a/Jefferson-Lerma,9,6,2,7,0,2,28.6,5,4,3,7,16,11,0,235,12,9,235,2,66.7,1,33.3,131,1,0,4,153,https://fbref.com/en/players/9b5ce51a/Jefferson-Lerma
270,209,Rico Lewis,ENG,DF,Manchester City,18,2004,2,1,79,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/b57e066e/Rico-Lewis,b57e066e,0,0,,0.0,0.0,,,,0,,0.0,0.0,https://fbref.com/en/players/b57e066e/Rico-Lewis,b57e066e,40,46,87.0,595,65,25,28,89.3,13,13,100.0,2,4,50.0,0.0,0.0,0,2,0,0,https://fbref.com/en/players/b57e066e/Rico-Lewis,b57e066e,1,1.14,1,0,0,0,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/b57e066e/Rico-Lewis,0,0,0,0,0,0,,0,0,0,1,1,0,0,51,2,1,51,1,100.0,0,0.0,35,0,0,2,33,https://fbref.com/en/players/b57e066e/Rico-Lewis
271,210,Keane Lewis-Potter,ENG,"FW,MF",Brentford,22,2001,3,0,51,0.6,0,0,0,0,0,0,0,0,0.7,0.7,0.0,0.7,3,0,11,0.0,0.0,0.0,0.0,0.0,1.29,0.0,1.29,1.29,1.29,Matches,https://fbref.com/en/players/41f08ac8/Keane-Lewis-Potter,41f08ac8,3,1,33.3,5.29,1.76,0.0,0.0,9.3,0,0.24,-0.7,-0.7,https://fbref.com/en/players/41f08ac8/Keane-Lewis-Potter,41f08ac8,10,13,76.9,111,16,7,8,87.5,2,4,50.0,0,0,,0.0,0.0,0,0,0,0,https://fbref.com/en/players/41f08ac8/Keane-Lewis-Potter,41f08ac8,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/41f08ac8/Keane-Lewis-Potter,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,21,0,8,21,1,33.3,2,66.7,15,1,2,1,19,https://fbref.com/en/players/41f08ac8/Keane-Lewis-Potter
272,211,Victor Lindelöf,SWE,DF,Manchester Utd,29,1994,3,1,173,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,https://fbref.com/en/players/f5deef4c/Victor-Lindelof,f5deef4c,0,0,,0.0,0.0,,,,0,,0.0,0.0,https://fbref.com/en/players/f5deef4c/Victor-Lindelof,f5deef4c,96,103,93.2,1464,371,48,52,92.3,44,45,97.8,3,4,75.0,0.0,-0.1,2,2,0,0,https://fbref.com/en/players/f5deef4c/Victor-Lindelof,f5deef4c,2,1.04,2,0,0,0,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/f5deef4c/Victor-Lindelof,1,1,0,1,0,0,0.0,1,4,1,0,1,2,0,113,12,2,113,0,,0,,73,0,0,0,85,https://fbref.com/en/players/f5deef4c/Victor-Lindelof
273,212,Valentino Livramento,ENG,FW,Newcastle Utd,20,2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/afed6722/Valentino-Livramento,afed6722,0,0,,0.0,0.0,,,,0,,0.0,0.0,https://fbref.com/en/players/afed6722/Valentino-Livramento,afed6722,0,0,,0,0,0,0,,0,0,,0,0,,0.0,0.0,0,0,0,0,https://fbref.com/en/players/afed6722/Valentino-Livramento,afed6722,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/afed6722/Valentino-Livramento,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,1,0,,0,,1,0,1,0,1,https://fbref.com/en/players/afed6722/Valentino-Livramento
274,213,Giovani Lo Celso,ARG,MF,Tottenham,27,1996,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.0,0.16,Matches,https://fbref.com/en/players/d7553721/Giovani-Lo-Celso,d7553721,0,0,,0.0,0.0,,,,0,,0.0,0.0,https://fbref.com/en/players/d7553721/Giovani-Lo-Celso,d7553721,28,32,87.5,429,106,16,18,88.9,9,9,100.0,2,2,100.0,0.0,0.0,1,2,0,0,https://fbref.com/en/players/d7553721/Giovani-Lo-Celso,d7553721,1,5.29,1,0,0,0,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/d7553721/Giovani-Lo-Celso,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,32,1,2,32,0,,0,,27,0,0,0,27,https://fbref.com/en/players/d7553721/Giovani-Lo-Celso
275,214,Tom Lockyer,WAL,DF,Luton Town,28,1994,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/37118440/Tom-Lockyer,37118440,0,0,,0.0,0.0,,,,0,,0.0,0.0,https://fbref.com/en/players/37118440/Tom-Lockyer,37118440,31,47,66.0,718,383,4,7,57.1,22,22,100.0,5,16,31.3,0.0,0.0,0,4,0,0,https://fbref.com/en/players/37118440/Tom-Lockyer,37118440,1,0.5,1,0,0,0,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/37118440/Tom-Lockyer,3,3,3,0,0,3,50.0,3,5,1,1,4,12,0,73,19,1,73,0,0.0,1,100.0,37,1,0,0,29,https://fbref.com/en/players/37118440/Tom-Lockyer
