,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,Unnamed: 38,Unnamed: 39,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Unnamed: 27,Unnamed: 28,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,Unnamed: 33,Unnamed: 34,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Unnamed: 26,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Unnamed: 32
0,1,Max Aarons,ENG,DF,Bournemouth,23,2000,4,4,344,3.8,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,3,13,9,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches,https://fbref.com/en/players/774cf58b/Max-Aarons,774cf58b,1,0,0.0,0.26,0.0,0.0,,23.9,0,0.02,0.0,0.0,https://fbref.com/en/players/774cf58b/Max-Aarons,774cf58b,136,178,76.4,2248,817,70,80,87.5,52,68,76.5,11,17,64.7,0.2,-0.1,2,7,5,2,https://fbref.com/en/players/774cf58b/Max-Aarons,774cf58b,8,2.09,5,1,0,2,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/774cf58b/Max-Aarons,11,7,8,3,0,10,71.4,4,6,2,0,11,7,0,217,13,0,217,5,41.7,3,25.0,98,0,3,0,111,https://fbref.com/en/players/774cf58b/Max-Aarons
1,2,Bénie Adama Traore,CIV,"FW,MF",Sheffield Utd,20,2002,4,3,273,3.0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,6,7,13,0.0,0.0,0.0,0.0,0.0,0.09,0.11,0.2,0.09,0.2,Matches,https://fbref.com/en/players/77816c91/Benie-Adama-Traore,77816c91,1,1,100.0,0.33,0.33,0.0,0.0,15.3,0,0.27,-0.3,-0.3,https://fbref.com/en/players/77816c91/Benie-Adama-Traore,77816c91,33,45,73.3,514,109,19,22,86.4,13,16,81.3,1,1,100.0,0.3,-0.3,2,1,5,0,https://fbref.com/en/players/77816c91/Benie-Adama-Traore,77816c91,4,1.32,4,0,0,0,0,1,0.33,1,0,0,0,0,0,https://fbref.com/en/players/77816c91/Benie-Adama-Traore,2,1,0,1,1,0,0.0,4,2,2,1,3,0,0,74,1,8,74,3,15.8,15,78.9,49,3,7,4,45,https://fbref.com/en/players/77816c91/Benie-Adama-Traore
2,3,Tosin Adarabioyo,ENG,DF,Fulham,25,1997,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/c81d773d/Tosin-Adarabioyo,c81d773d,0,0,,0.0,0.0,,,,0,,0.0,0.0,https://fbref.com/en/players/c81d773d/Tosin-Adarabioyo,c81d773d,0,0,,0,0,0,0,,0,0,,0,0,,0.0,0.0,0,0,0,0,https://fbref.com/en/players/c81d773d/Tosin-Adarabioyo,c81d773d,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/c81d773d/Tosin-Adarabioyo,0,0,0,0,0,0,,0,1,0,0,0,4,0,5,5,0,5,0,,0,,0,0,0,0,0,https://fbref.com/en/players/c81d773d/Tosin-Adarabioyo
3,4,Elijah Adebayo,ENG,FW,Luton Town,25,1998,3,3,202,2.2,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,1,5,12,0.0,0.0,0.0,0.0,0.0,0.18,0.05,0.22,0.18,0.22,Matches,https://fbref.com/en/players/0480ebc7/Elijah-Adebayo,0480ebc7,3,0,0.0,1.34,0.0,0.0,,7.7,0,0.14,-0.4,-0.4,https://fbref.com/en/players/0480ebc7/Elijah-Adebayo,0480ebc7,24,31,77.4,364,99,13,15,86.7,10,14,71.4,1,1,100.0,0.1,-0.1,3,1,1,0,https://fbref.com/en/players/0480ebc7/Elijah-Adebayo,0480ebc7,3,1.34,2,0,0,0,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/0480ebc7/Elijah-Adebayo,0,0,0,0,0,0,,0,1,1,1,1,5,0,58,5,7,58,3,30.0,7,70.0,31,1,5,4,37,https://fbref.com/en/players/0480ebc7/Elijah-Adebayo
4,5,Simon Adingra,CIV,"FW,MF",Brighton,21,2002,3,0,38,0.4,1,0,1,1,0,0,0,0,0.4,0.4,0.1,0.4,2,0,5,2.37,0.0,2.37,2.37,2.37,0.84,0.17,1.0,0.84,1.0,Matches,https://fbref.com/en/players/4dcec659/Simon-Adingra,4dcec659,2,1,50.0,4.74,2.37,0.5,1.0,8.0,0,0.18,0.6,0.6,https://fbref.com/en/players/4dcec659/Simon-Adingra,4dcec659,17,21,81.0,209,39,15,17,88.2,2,3,66.7,0,0,,0.0,-0.1,1,0,0,0,https://fbref.com/en/players/4dcec659/Simon-Adingra,4dcec659,1,2.37,1,0,0,0,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/4dcec659/Simon-Adingra,3,2,0,1,2,3,100.0,0,1,1,0,3,0,0,31,1,7,31,1,25.0,3,75.0,19,3,1,0,19,https://fbref.com/en/players/4dcec659/Simon-Adingra
5,6,Nayef Aguerd,MAR,DF,West Ham,27,1996,3,3,246,2.7,1,0,1,1,0,0,2,1,0.1,0.1,0.0,0.2,1,8,0,0.37,0.0,0.37,0.37,0.37,0.05,0.01,0.06,0.05,0.06,Matches,https://fbref.com/en/players/288e1e13/Nayef-Aguerd,288e1e13,1,1,100.0,0.37,0.37,1.0,1.0,6.4,0,0.13,0.9,0.9,https://fbref.com/en/players/288e1e13/Nayef-Aguerd,288e1e13,106,130,81.5,2193,930,37,39,94.9,51,56,91.1,16,30,53.3,0.0,0.0,1,7,0,0,https://fbref.com/en/players/288e1e13/Nayef-Aguerd,288e1e13,2,0.73,2,0,0,0,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/288e1e13/Nayef-Aguerd,5,1,4,1,0,5,83.3,1,3,2,5,10,15,1,162,23,1,162,0,,0,,85,0,2,1,85,https://fbref.com/en/players/288e1e13/Nayef-Aguerd
6,7,Naouirou Ahamada,FRA,"FW,MF",Crystal Palace,21,2002,2,0,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/a6c58494/Naouirou-Ahamada,a6c58494,0,0,,0.0,0.0,,,,0,,0.0,0.0,https://fbref.com/en/players/a6c58494/Naouirou-Ahamada,a6c58494,20,25,80.0,293,90,10,11,90.9,10,11,90.9,0,0,,0.0,0.0,0,1,0,0,https://fbref.com/en/players/a6c58494/Naouirou-Ahamada,a6c58494,1,2.43,1,0,0,0,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/a6c58494/Naouirou-Ahamada,2,2,1,1,0,2,66.7,1,0,0,0,2,0,0,26,0,0,26,1,100.0,0,0.0,19,0,0,0,20,https://fbref.com/en/players/a6c58494/Naouirou-Ahamada
7,8,Anel Ahmedhodzic,BIH,DF,Sheffield Utd,24,1999,4,4,360,4.0,0,0,0,0,0,0,2,0,0.5,0.5,0.0,0.5,2,5,4,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches,https://fbref.com/en/players/eab957a3/Anel-Ahmedhodzic,eab957a3,5,0,0.0,1.25,0.0,0.0,,16.4,0,0.1,-0.5,-0.5,https://fbref.com/en/players/eab957a3/Anel-Ahmedhodzic,eab957a3,101,142,71.1,1450,548,64,80,80.0,26,34,76.5,8,22,36.4,0.0,0.0,0,6,0,0,https://fbref.com/en/players/eab957a3/Anel-Ahmedhodzic,eab957a3,3,0.75,2,0,0,0,0,1,0.25,0,0,0,1,0,0,https://fbref.com/en/players/eab957a3/Anel-Ahmedhodzic,8,6,6,0,2,6,60.0,4,10,4,6,14,21,0,199,28,4,199,2,50.0,1,25.0,82,1,0,4,92,https://fbref.com/en/players/eab957a3/Anel-Ahmedhodzic
8,9,Ola Aina,NGA,"DF,MF",Nott'ham Forest,26,1996,3,3,233,2.6,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,3,1,1,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,https://fbref.com/en/players/246d153b/Ola-Aina,246d153b,1,0,0.0,0.39,0.0,0.0,,29.4,0,0.02,0.0,0.0,https://fbref.com/en/players/246d153b/Ola-Aina,246d153b,36,60,60.0,680,357,16,24,66.7,14,19,73.7,6,14,42.9,0.0,0.0,0,1,0,0,https://fbref.com/en/players/246d153b/Ola-Aina,246d153b,3,1.16,0,1,1,1,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/246d153b/Ola-Aina,7,6,6,1,0,4,100.0,0,2,1,2,9,7,0,88,11,0,88,3,37.5,3,37.5,35,0,1,3,39,https://fbref.com/en/players/246d153b/Ola-Aina
9,10,Rayan Aït Nouri,ALG,"DF,MF",Wolves,22,2001,4,3,287,3.2,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,6,16,11,0.0,0.0,0.0,0.0,0.0,0.1,0.03,0.13,0.1,0.13,Matches,https://fbref.com/en/players/9b398aea/Rayan-Ait-Nouri,9b398aea,1,0,0.0,0.31,0.0,0.0,,11.3,0,0.32,-0.3,-0.3,https://fbref.com/en/players/9b398aea/Rayan-Ait-Nouri,9b398aea,128,158,81.0,1742,630,88,97,90.7,28,33,84.8,8,15,53.3,0.1,-0.1,3,9,3,0,https://fbref.com/en/players/9b398aea/Rayan-Ait-Nouri,9b398aea,7,2.19,5,1,0,1,0,1,0.31,0,0,0,0,1,0,https://fbref.com/en/players/9b398aea/Rayan-Ait-Nouri,12,7,6,4,2,5,71.4,2,4,2,1,13,5,0,190,12,4,190,5,41.7,6,50.0,95,1,3,9,117,https://fbref.com/en/players/9b398aea/Rayan-Ait-Nouri
10,11,Kristoffer Ajer,NOR,DF,Brentford,25,1998,3,1,95,1.1,0,1,1,0,0,0,0,0,0.3,0.3,1.0,1.3,2,5,4,0.0,0.95,0.95,0.0,0.95,0.29,0.91,1.2,0.29,1.2,Matches,https://fbref.com/en/players/a8c0acb7/Kristoffer-Ajer,a8c0acb7,2,1,50.0,1.89,0.95,0.0,0.0,8.6,0,0.15,-0.3,-0.3,https://fbref.com/en/players/a8c0acb7/Kristoffer-Ajer,a8c0acb7,37,45,82.2,612,259,22,23,95.7,12,15,80.0,3,6,50.0,0.7,0.0,1,4,0,0,https://fbref.com/en/players/a8c0acb7/Kristoffer-Ajer,a8c0acb7,3,2.84,2,0,0,0,0,1,0.95,1,0,0,0,0,0,https://fbref.com/en/players/a8c0acb7/Kristoffer-Ajer,0,0,0,0,0,0,0.0,1,2,1,1,1,6,0,60,7,7,60,0,,0,,22,0,2,2,37,https://fbref.com/en/players/a8c0acb7/Kristoffer-Ajer
11,12,Manuel Akanji,SUI,DF,Manchester City,28,1995,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,9,1,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches,https://fbref.com/en/players/89ac64a6/Manuel-Akanji,89ac64a6,1,0,0.0,0.33,0.0,0.0,,26.9,0,0.03,0.0,0.0,https://fbref.com/en/players/89ac64a6/Manuel-Akanji,89ac64a6,244,268,91.0,3691,889,129,133,97.0,99,108,91.7,7,14,50.0,0.2,-0.1,1,12,0,0,https://fbref.com/en/players/89ac64a6/Manuel-Akanji,89ac64a6,5,1.67,5,0,0,0,0,2,0.67,2,0,0,0,0,0,https://fbref.com/en/players/89ac64a6/Manuel-Akanji,6,3,1,4,1,4,57.1,3,4,2,3,9,7,0,291,21,2,291,0,,0,,181,0,0,0,234,https://fbref.com/en/players/89ac64a6/Manuel-Akanji
12,13,Nathan Aké,NED,DF,Manchester City,28,1995,3,3,258,2.9,1,0,1,1,0,0,0,0,0.4,0.4,0.0,0.4,3,11,2,0.35,0.0,0.35,0.35,0.35,0.14,0.0,0.14,0.14,0.14,Matches,https://fbref.com/en/players/eaeca114/Nathan-Ake,eaeca114,3,1,33.3,1.05,0.35,0.33,1.0,8.1,0,0.13,0.6,0.6,https://fbref.com/en/players/eaeca114/Nathan-Ake,eaeca114,228,246,92.7,3972,1051,90,96,93.8,116,122,95.1,12,17,70.6,0.0,0.0,0,8,0,0,https://fbref.com/en/players/eaeca114/Nathan-Ake,eaeca114,4,1.4,3,0,0,0,0,1,0.35,0,0,0,1,0,0,https://fbref.com/en/players/eaeca114/Nathan-Ake,6,4,4,2,0,4,80.0,1,0,0,5,11,5,0,269,7,5,269,0,,0,,174,0,1,0,192,https://fbref.com/en/players/eaeca114/Nathan-Ake
13,14,Trent Alexander-Arnold,ENG,DF,Liverpool,24,1998,4,4,324,3.6,0,1,1,0,0,0,2,0,0.2,0.2,0.8,1.0,12,17,7,0.0,0.28,0.28,0.0,0.28,0.05,0.23,0.29,0.05,0.29,Matches,https://fbref.com/en/players/cd1acf9d/Trent-Alexander-Arnold,cd1acf9d,5,2,40.0,1.39,0.56,0.0,0.0,22.7,0,0.04,-0.2,-0.2,https://fbref.com/en/players/cd1acf9d/Trent-Alexander-Arnold,cd1acf9d,189,253,74.7,3637,1782,87,92,94.6,68,88,77.3,28,64,43.8,0.5,0.2,9,19,5,1,https://fbref.com/en/players/cd1acf9d/Trent-Alexander-Arnold,cd1acf9d,18,4.98,12,4,1,0,0,3,0.83,2,1,0,0,0,0,https://fbref.com/en/players/cd1acf9d/Trent-Alexander-Arnold,5,4,4,1,0,2,33.3,4,2,2,3,8,11,2,286,15,4,286,5,62.5,2,25.0,134,3,4,1,173,https://fbref.com/en/players/cd1acf9d/Trent-Alexander-Arnold
14,15,Alisson,BRA,GK,Liverpool,30,1992,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/7a2e46a8/Alisson,7a2e46a8,0,0,,0.0,0.0,,,,0,,0.0,0.0,https://fbref.com/en/players/7a2e46a8/Alisson,7a2e46a8,130,159,81.8,2858,1789,30,30,100.0,79,79,100.0,20,48,41.7,0.0,0.0,0,0,0,0,https://fbref.com/en/players/7a2e46a8/Alisson,7a2e46a8,2,0.5,1,1,0,0,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/7a2e46a8/Alisson,0,0,0,0,0,0,0.0,1,0,0,0,0,1,0,167,121,0,167,0,,0,,118,0,1,0,91,https://fbref.com/en/players/7a2e46a8/Alisson
15,16,Miguel Almirón,PAR,FW,Newcastle Utd,29,1994,4,4,317,3.5,0,0,0,0,0,0,0,0,0.7,0.7,0.4,1.0,19,8,29,0.0,0.0,0.0,0.0,0.0,0.19,0.11,0.3,0.19,0.3,Matches,https://fbref.com/en/players/862a1c15/Miguel-Almiron,862a1c15,9,2,22.2,2.56,0.57,0.0,0.0,18.9,0,0.07,-0.7,-0.7,https://fbref.com/en/players/862a1c15/Miguel-Almiron,862a1c15,106,125,84.8,1431,238,68,77,88.3,33,36,91.7,3,5,60.0,0.1,-0.4,4,3,3,0,https://fbref.com/en/players/862a1c15/Miguel-Almiron,862a1c15,9,2.56,7,0,0,1,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/862a1c15/Miguel-Almiron,3,3,1,1,1,3,42.9,4,5,5,3,6,0,0,156,1,14,156,1,25.0,2,50.0,115,6,3,5,125,https://fbref.com/en/players/862a1c15/Miguel-Almiron
16,17,Edson Álvarez,MEX,MF,West Ham,25,1997,3,2,183,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,0,3,2,0.0,0.0,0.0,0.0,0.0,0.07,0.04,0.11,0.07,0.11,Matches,https://fbref.com/en/players/8b3ab7ad/Edson-Alvarez,8b3ab7ad,1,0,0.0,0.49,0.0,0.0,,18.7,0,0.14,-0.1,-0.1,https://fbref.com/en/players/8b3ab7ad/Edson-Alvarez,8b3ab7ad,74,93,79.6,1264,418,39,45,86.7,23,28,82.1,9,15,60.0,0.0,-0.1,1,4,0,0,https://fbref.com/en/players/8b3ab7ad/Edson-Alvarez,8b3ab7ad,3,1.48,2,0,0,0,0,1,0.49,1,0,0,0,0,0,https://fbref.com/en/players/8b3ab7ad/Edson-Alvarez,4,1,2,2,0,2,50.0,2,5,2,4,8,13,0,130,24,1,130,1,50.0,1,50.0,61,0,2,0,69,https://fbref.com/en/players/8b3ab7ad/Edson-Alvarez
17,18,Julián Álvarez,ARG,MF,Manchester City,23,2000,4,4,359,4.0,2,1,3,2,0,0,1,0,1.8,1.8,0.6,2.4,9,13,26,0.5,0.25,0.75,0.5,0.75,0.45,0.15,0.6,0.45,0.6,Matches,https://fbref.com/en/players/15ab5a2b/Julian-Alvarez,15ab5a2b,14,6,42.9,3.51,1.5,0.14,0.33,15.7,2,0.13,0.2,0.2,https://fbref.com/en/players/15ab5a2b/Julian-Alvarez,15ab5a2b,122,164,74.4,1670,398,75,88,85.2,29,42,69.0,8,18,44.4,0.6,0.4,12,3,5,0,https://fbref.com/en/players/15ab5a2b/Julian-Alvarez,15ab5a2b,14,3.51,8,4,1,1,0,2,0.5,1,0,0,0,1,0,https://fbref.com/en/players/15ab5a2b/Julian-Alvarez,3,3,1,1,1,0,0.0,5,6,6,1,4,0,0,201,0,18,201,3,75.0,1,25.0,120,3,7,4,153,https://fbref.com/en/players/15ab5a2b/Julian-Alvarez
18,19,Zeki Amdouni,SUI,FW,Burnley,22,2000,3,3,199,2.2,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,4,6,9,0.0,0.0,0.0,0.0,0.0,0.05,0.09,0.13,0.05,0.13,Matches,https://fbref.com/en/players/2ee5b0c9/Zeki-Amdouni,2ee5b0c9,4,1,25.0,1.81,0.45,0.0,0.0,22.2,0,0.03,-0.1,-0.1,https://fbref.com/en/players/2ee5b0c9/Zeki-Amdouni,2ee5b0c9,39,43,90.7,520,154,23,25,92.0,10,11,90.9,3,3,100.0,0.2,-0.2,1,5,1,0,https://fbref.com/en/players/2ee5b0c9/Zeki-Amdouni,2ee5b0c9,3,1.36,1,0,1,0,1,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/2ee5b0c9/Zeki-Amdouni,6,4,1,1,4,3,75.0,1,2,0,0,6,1,0,72,4,8,72,4,44.4,5,55.6,41,3,6,2,47,https://fbref.com/en/players/2ee5b0c9/Zeki-Amdouni
19,20,Joachim Andersen,DEN,DF,Crystal Palace,27,1996,4,4,360,4.0,1,0,1,1,0,0,0,0,0.2,0.2,0.2,0.4,8,38,2,0.25,0.0,0.25,0.25,0.25,0.05,0.06,0.11,0.05,0.11,Matches,https://fbref.com/en/players/e34fc66d/Joachim-Andersen,e34fc66d,3,3,100.0,0.75,0.75,0.33,0.33,16.6,0,0.07,0.8,0.8,https://fbref.com/en/players/e34fc66d/Joachim-Andersen,e34fc66d,229,276,83.0,5235,1865,60,69,87.0,132,140,94.3,37,61,60.7,0.3,-0.2,6,35,6,2,https://fbref.com/en/players/e34fc66d/Joachim-Andersen,e34fc66d,15,3.75,15,0,0,0,0,1,0.25,1,0,0,0,0,0,https://fbref.com/en/players/e34fc66d/Joachim-Andersen,8,5,7,0,1,6,85.7,1,5,1,4,12,23,0,325,37,7,325,4,100.0,0,0.0,195,0,2,0,214,https://fbref.com/en/players/e34fc66d/Joachim-Andersen
20,21,Elliot Anderson,SCO,MF,Newcastle Utd,20,2002,4,0,68,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,4,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,Matches,https://fbref.com/en/players/de31038e/Elliot-Anderson,de31038e,0,0,,0.0,0.0,,,,0,,0.0,0.0,https://fbref.com/en/players/de31038e/Elliot-Anderson,de31038e,24,28,85.7,429,46,13,13,100.0,7,7,100.0,3,5,60.0,0.1,-0.2,2,4,1,0,https://fbref.com/en/players/de31038e/Elliot-Anderson,de31038e,3,3.97,3,0,0,0,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/de31038e/Elliot-Anderson,2,1,1,1,0,1,33.3,2,1,0,1,3,1,0,39,1,4,39,1,33.3,0,0.0,24,0,2,2,26,https://fbref.com/en/players/de31038e/Elliot-Anderson
21,22,Jaidon Anthony,ENG,FW,Bournemouth,23,1999,3,2,152,1.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,8,9,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,https://fbref.com/en/players/e4238fb1/Jaidon-Anthony,e4238fb1,2,1,50.0,1.18,0.59,0.0,0.0,24.5,0,0.03,-0.1,-0.1,https://fbref.com/en/players/e4238fb1/Jaidon-Anthony,e4238fb1,30,45,66.7,453,139,17,20,85.0,10,14,71.4,1,6,16.7,0.0,0.0,0,3,1,0,https://fbref.com/en/players/e4238fb1/Jaidon-Anthony,e4238fb1,3,1.78,2,0,1,0,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/e4238fb1/Jaidon-Anthony,3,1,1,0,2,1,14.3,6,3,3,1,4,3,0,69,2,4,69,2,33.3,3,50.0,36,0,5,2,40,https://fbref.com/en/players/e4238fb1/Jaidon-Anthony
22,23,Michail Antonio,JAM,FW,West Ham,33,1990,4,4,309,3.4,2,0,2,2,0,0,1,0,0.9,0.9,0.3,1.2,5,4,14,0.58,0.0,0.58,0.58,0.58,0.25,0.09,0.34,0.25,0.34,Matches,https://fbref.com/en/players/ac05f970/Michail-Antonio,ac05f970,5,3,60.0,1.46,0.87,0.4,0.67,13.4,0,0.17,1.1,1.1,https://fbref.com/en/players/ac05f970/Michail-Antonio,ac05f970,35,55,63.6,522,175,23,27,85.2,7,13,53.8,3,6,50.0,0.3,-0.3,1,3,1,0,https://fbref.com/en/players/ac05f970/Michail-Antonio,ac05f970,8,2.33,5,0,2,0,1,2,0.58,1,0,1,0,0,0,https://fbref.com/en/players/ac05f970/Michail-Antonio,2,0,0,1,1,2,66.7,1,3,1,1,3,1,0,95,2,9,95,8,72.7,1,9.1,60,2,15,6,68,https://fbref.com/en/players/ac05f970/Michail-Antonio
23,24,Antony,BRA,"FW,MF",Manchester Utd,23,2000,4,4,308,3.4,0,0,0,0,0,0,1,0,0.6,0.6,0.8,1.4,15,14,44,0.0,0.0,0.0,0.0,0.0,0.18,0.24,0.42,0.18,0.42,Matches,https://fbref.com/en/players/99127249/Antony,99127249,11,2,18.2,3.21,0.58,0.0,0.0,19.4,0,0.06,-0.6,-0.6,https://fbref.com/en/players/99127249/Antony,99127249,92,123,74.8,1128,301,65,81,80.2,18,23,78.3,3,7,42.9,0.6,-0.8,8,5,7,0,https://fbref.com/en/players/99127249/Antony,99127249,13,3.8,12,0,1,0,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/99127249/Antony,7,2,2,4,1,5,55.6,4,5,5,5,12,0,0,174,4,14,174,5,33.3,7,46.7,118,7,6,3,124,https://fbref.com/en/players/99127249/Antony
24,25,Cameron Archer,ENG,FW,Sheffield Utd,22,2001,1,1,74,0.8,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,1,0,5,1.22,0.0,1.22,1.22,1.22,0.21,0.0,0.21,0.21,0.21,Matches,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,2,1,50.0,2.43,1.22,0.5,1.0,19.1,0,0.09,0.8,0.8,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,6,6,100.0,65,0,3,3,100.0,2,2,100.0,0,0,,0.0,0.0,0,0,0,0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,0,0,0,0,0,0,,0,0,0,0,0,0,0,14,0,3,14,1,50.0,1,50.0,13,1,4,5,14,https://fbref.com/en/players/05e8ca6d/Cameron-Archer
25,25,Cameron Archer,ENG,FW,Sheffield Utd,22,2001,1,1,74,0.8,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,1,0,5,1.22,0.0,1.22,1.22,1.22,0.21,0.0,0.21,0.21,0.21,Matches,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,2,1,50.0,2.43,1.22,0.5,1.0,19.1,0,0.09,0.8,0.8,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,6,6,100.0,65,0,3,3,100.0,2,2,100.0,0,0,,0.0,0.0,0,0,0,0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,0,0,0,0,0,0,,0,0,0,0,0,0,0,7,0,0,7,0,,0,,5,0,1,0,7,https://fbref.com/en/players/05e8ca6d/Cameron-Archer
26,25,Cameron Archer,ENG,FW,Sheffield Utd,22,2001,1,1,74,0.8,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,1,0,5,1.22,0.0,1.22,1.22,1.22,0.21,0.0,0.21,0.21,0.21,Matches,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,2,1,50.0,2.43,1.22,0.5,1.0,19.1,0,0.09,0.8,0.8,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,6,6,100.0,65,0,3,3,100.0,2,2,100.0,0,0,,0.0,0.0,0,0,0,0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,0,0,0,0,0,0,,0,0,0,0,0,0,0,14,0,3,14,1,50.0,1,50.0,13,1,4,5,14,https://fbref.com/en/players/05e8ca6d/Cameron-Archer
27,25,Cameron Archer,ENG,FW,Sheffield Utd,22,2001,1,1,74,0.8,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,1,0,5,1.22,0.0,1.22,1.22,1.22,0.21,0.0,0.21,0.21,0.21,Matches,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,2,1,50.0,2.43,1.22,0.5,1.0,19.1,0,0.09,0.8,0.8,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,6,6,100.0,65,0,3,3,100.0,2,2,100.0,0,0,,0.0,0.0,0,0,0,0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,0,0,0,0,0,0,,0,0,0,0,0,0,0,7,0,0,7,0,,0,,5,0,1,0,7,https://fbref.com/en/players/05e8ca6d/Cameron-Archer
